country,series,seasonality_no_smc,myr,plot,d,y,rate_1000_personmonths,lower,upper,,
BOTH,1) overall,,9/1/2014,656,909,8.512469938,106.7845181,99.61303094,114.6213205,,
BOTH,1) overall,,10/1/2014,657,838,9.737163311,86.06202579,80.15799314,92.52166353,,
BOTH,1) overall,,11/1/2014,658,594,9.451247888,62.84884357,57.92027567,68.31254542,,
BOTH,1) overall,,12/1/2014,659,244,9.762061546,24.99472052,22.02092698,28.49261743,,
BOTH,1) overall,1,1/1/2015,660,530,9.75222805,54.3465552,49.44914122,59.88491934,,
BOTH,1) overall,1,2/1/2015,661,316,8.804050059,35.89257193,32.00263694,40.39949721,,
BOTH,1) overall,1,3/1/2015,662,286,9.734321184,29.38057977,25.87165173,33.5165667,,
BOTH,1) overall,1,4/1/2015,663,232,9.411962553,24.64948184,21.47769569,28.43979863,,
BOTH,1) overall,1,5/1/2015,664,116,9.719092817,11.93527032,9.82049152,14.659974,,
BOTH,1) overall,1,6/1/2015,665,224,9.385075695,23.86768176,20.82005626,27.50130747,,
BOTH,1) overall,1,7/1/2015,666,2201,9.675419731,227.4836711,217.8204878,237.6944799,,
BOTH,1) overall,,8/1/2015,667,1669,9.974191304,167.3318617,159.1595095,176.0298368,,
BOTH,1) overall,,9/1/2015,668,969,10.44283131,92.7909272,86.71530597,99.40409925,,
BOTH,1) overall,,10/1/2015,669,1016,10.91616105,93.07301305,87.00260687,99.68144917,,
BOTH,1) overall,,11/1/2015,670,859,10.55697642,81.36799457,75.8682263,87.38225502,,
BOTH,1) overall,1,12/1/2015,671,1051,10.89027852,96.50809188,90.54652938,102.9765867,,
BOTH,1) overall,1,1/1/2016,672,695,10.86514246,63.96602738,59.15421983,69.2788587,,
BOTH,1) overall,1,2/1/2016,673,433,10.14972936,42.66123605,38.63342011,47.23062096,,
BOTH,1) overall,1,3/1/2016,674,292,10.83155128,26.95828072,23.7225398,30.77115092,,
BOTH,1) overall,1,4/1/2016,675,149,10.46917703,14.23225527,12.02487736,16.97790863,,
BOTH,1) overall,1,5/1/2016,676,160,10.80038584,14.81428556,12.58744921,17.56120916,,
BOTH,1) overall,1,6/1/2016,677,416,10.40044919,39.99827242,36.09407655,44.45444936,,
BOTH,1) overall,1,7/1/2016,678,2432,10.6945444,227.4056669,218.3089103,237.0009269,,
BOTH,1) overall,,8/1/2016,679,1171,10.85449185,107.8816048,101.4448688,114.8507027,,
BOTH,1) overall,,9/1/2016,680,809,10.83006821,74.69943716,69.5936968,80.29015848,,
BOTH,1) overall,,10/1/2016,681,1090,11.17517315,97.53763857,91.38664618,104.2322994,,
BOTH,1) overall,,11/1/2016,682,530,10.75153749,49.29527526,44.99825176,54.13052109,,
BOTH,1) overall,1,12/1/2016,683,382,11.04267956,34.59305306,31.20248982,38.46277737,,
BOTH,2) no recent SMC,1,9/1/2014,655.79999,301,0.511069715,588.9607453,532.3423613,652.8686452,,
BOTH,2) no recent SMC,1,10/1/2014,656.79999,77,0.351498887,219.0618601,179.9988388,269.4172167,,
BOTH,2) no recent SMC,1,11/1/2014,657.79999,88,0.388395442,226.5732048,187.2248137,277.1243806,,
BOTH,2) no recent SMC,1,12/1/2014,658.79999,11,0.171112165,64.28531837,36.68053208,123.6785207,,
BOTH,2) no recent SMC,1,8/1/2015,666.79999,1014,2.597749772,390.3378266,369.711362,412.4721882,,
